Index,theta,x_upper,x_lower,y_upper,y_lower
A8,-0.7854,-2.0559341776233144,-2.2559341776233146,-2.0559341776233144,-4.192066211978921
A8,-0.62832,-2.040647580387236,-2.240647580387236,-2.040647580387236,-4.174167966144897
A8,-0.4712400000000001,-2.028349096413836,-2.228349096413836,-2.028349096413836,-4.1540987222391275
A8,-0.31416,-2.0193415566082495,-2.2193415566082497,-2.0193415566082495,-4.132352653958999
A8,-0.1570799999999999,-2.0138467575299774,-2.2138467575299776,-2.0138467575299774,-4.109465224175761
A8,0.0,-2.012,-2.212,-2.012,-4.086
A9,-3.1416,-1.8519999999959522,-2.051999999995952,-1.8519999999959522,-4.085998898038469
A9,-2.98452,-1.850153414851187,-2.050153414851187,-1.850153414851187,-4.109464135780635
A9,-2.82744,-1.844658783913511,-2.044658783913511,-1.844658783913511,-4.132351605930303
A9,-2.67036,-1.8356514038637057,-2.0356514038637057,-1.8356514038637057,-4.154097740382928
A9,-2.51328,-1.8233530673275355,-2.0233530673275357,-1.8233530673275355,-4.174167074637864
A9,-2.3562,-1.8080666015797255,-2.0080666015797255,-1.8080666015797255,-4.192065432773019
A9,-2.1991199999999997,-1.790168411896629,-1.9901684118966292,-1.790168411896629,-4.207352095752922
A9,-2.04204,-1.7700992131658493,-1.9700992131658495,-1.7700992131658493,-4.219650653444688
A9,-1.88496,-1.7483531779724086,-1.9483531779724088,-1.7483531779724086,-4.228658273127983
A9,-1.7278799999999999,-1.7254657683728487,-1.9254657683728489,-1.7254657683728487,-4.234153156276442
A9,-1.5708,-1.7020005509807654,-1.9020005509807656,-1.7020005509807654,-4.235999999998988
A10,-1.5708,-0.13200055098076552,-0.33200055098076553,-0.13200055098076552,-4.235999999998988
A10,-1.41372,-0.10853532002164379,-0.3085353200216438,-0.10853532002164379,-4.234153328661604
A10,-1.25664,-0.08564787005503594,-0.28564787005503595,-0.08564787005503594,-4.228658613653593
A10,-1.0995599999999999,-0.06390176868851283,-0.26390176868851284,-0.06390176868851283,-4.219651153725836
A10,-0.94248,-0.04383247960802489,-0.2438324796080249,-0.04383247960802489,-4.2073527434709685
A10,-0.7854,-0.02593417762331457,-0.22593417762331458,-0.02593417762331457,-4.192066211978921
A10,-0.62832,-0.010647580387236191,-0.2106475803872362,-0.010647580387236191,-4.174167966144897
A10,-0.4712400000000001,0.0016509035861640708,-0.19834909641383594,0.0016509035861640708,-4.1540987222391275
A10,-0.31416,0.01065844339175051,-0.1893415566082495,0.01065844339175051,-4.132352653958999
A10,-0.1570799999999999,0.016153242470022533,-0.18384675752997748,0.016153242470022533,-4.109465224175761
A10,0.0,0.017999999999999988,-0.18200000000000002,0.017999999999999988,-4.086
A11,-3.1416,0.17800000000404775,-0.021999999995952257,0.17800000000404775,-4.085998898038469
A11,-2.98452,0.179846585148813,-0.020153414851187018,0.179846585148813,-4.109464135780635
A11,-2.82744,0.18534121608648896,-0.014658783913511053,0.18534121608648896,-4.132351605930303
A11,-2.67036,0.19434859613629432,-0.00565140386370569,0.19434859613629432,-4.154097740382928
A11,-2.51328,0.20664693267246448,0.006646932672464481,0.20664693267246448,-4.174167074637864
A11,-2.3562,0.22193339842027449,0.02193339842027449,0.22193339842027449,-4.192065432773019
A11,-2.1991199999999997,0.23983158810337088,0.03983158810337087,0.23983158810337088,-4.207352095752922
A11,-2.04204,0.25990078683415063,0.05990078683415059,0.25990078683415063,-4.219650653444688
A11,-1.88496,0.28164682202759134,0.08164682202759133,0.28164682202759134,-4.228658273127983
A11,-1.7278799999999999,0.3045342316271512,0.10453423162715117,0.3045342316271512,-4.234153156276442
A11,-1.5708,0.3279994490192345,0.1279994490192345,0.3279994490192345,-4.235999999998988
A12,-1.5708,1.9579983103256526,1.7579983103256525,1.9579983103256526,-4.245999999996896
A12,-1.41372,2.029958351933626,1.8299583519336258,2.029958351933626,-4.240336874562253
A12,-1.25664,2.1001465318312236,1.9001465318312234,2.1001465318312236,-4.223486415204352
A12,-1.0995599999999999,2.1668345760218943,1.9668345760218942,2.1668345760218943,-4.195863538092565
A12,-0.94248,2.228380395868724,2.028380395868724,2.228380395868724,-4.158148413310969
A12,-0.7854,2.283268521955169,2.0832685219551688,2.283268521955169,-4.111269716735357
A12,-0.62832,2.3301474201458094,2.1301474201458093,2.3301474201458094,-4.05638176284435
A12,-0.4712400000000001,2.36786277099757,2.1678627709975697,2.36786277099757,-3.994836081533325
A12,-0.31416,2.395485893068035,2.1954858930680348,2.395485893068035,-3.928148138807597
A12,-0.1570799999999999,2.4123366102414026,2.2123366102414024,2.4123366102414026,-3.8579600208056664
A12,0.0,2.418,2.218,2.418,-3.786
A13,-1.5708,2.257998898038469,2.057998898038469,2.257998898038469,-3.545999999997976
A13,-1.41372,2.3049293599567124,2.1049293599567123,2.3049293599567124,-3.5423066573232087
A13,-1.25664,2.350704259889928,2.150704259889928,2.350704259889928,-3.5313172273071864
A13,-1.0995599999999999,2.394196462622974,2.194196462622974,2.394196462622974,-3.513302307451673
A13,-0.94248,2.4343350407839504,2.23433504078395,2.4343350407839504,-3.4887054869419365
A13,-0.7854,2.470131644753371,2.270131644753371,2.470131644753371,-3.458132423957842
A13,-0.62832,2.5007048392255276,2.3007048392255274,2.5007048392255276,-3.4223359322897937
A13,-0.4712400000000001,2.5253018071723283,2.325301807172328,2.5253018071723283,-3.382197444478255
A13,-0.31416,2.543316886783501,2.343316886783501,2.543316886783501,-3.3387053079179982
A13,-0.1570799999999999,2.554306484940045,2.354306484940045,2.554306484940045,-3.292930448351522
A13,0.0,2.558,2.3579999999999997,2.558,-3.246
A14,-1.5708,2.2579994490192346,2.0579994490192344,2.2579994490192346,-3.395999999998988
A14,-1.41372,2.281464679978356,2.081464679978356,2.281464679978356,-3.3941533286616044
A14,-1.25664,2.3043521299449643,2.104352129944964,2.3043521299449643,-3.388658613653593
A14,-1.0995599999999999,2.3260982313114873,2.126098231311487,2.3260982313114873,-3.3796511537258365
A14,-0.94248,2.346167520391975,2.146167520391975,2.346167520391975,-3.3673527434709682
A14,-0.7854,2.3640658223766855,2.1640658223766853,2.3640658223766855,-3.352066211978921
A14,-0.62832,2.379352419612764,2.179352419612764,2.379352419612764,-3.334167966144897
A14,-0.4712400000000001,2.391650903586164,2.1916509035861638,2.391650903586164,-3.3140987222391276
A14,-0.31416,2.4006584433917504,2.20065844339175,2.4006584433917504,-3.292352653958999
A14,-0.1570799999999999,2.4061532424700225,2.2061532424700223,2.4061532424700225,-3.269465224175761
A14,0.0,2.408,2.2079999999999997,2.408,-3.246
A15,-1.5708,1.0379983103256525,0.8379983103256524,1.0379983103256525,-3.405999999996897
A15,-1.42925,1.102894106575391,0.9028941065753909,1.102894106575391,-3.401399555260852
A15,-1.2877,1.1664918279548566,0.9664918279548566,1.1664918279548566,-3.387689766859976
A15,-1.14615,1.2275193311480248,1.0275193311480246,1.2275193311480248,-3.365144871281047
A15,-1.0046,1.2847558848362743,1.0847558848362742,1.2847558848362743,-3.33421583339512
A15,-0.8630499999999999,1.3370565879503926,1.1370565879503924,1.3370565879503926,-3.2955213258207134
A15,-0.7214999999999999,1.3833752710923752,1.183375271092375,1.3833752710923752,-3.2498353536339515
A15,-0.57995,1.422785423030561,1.2227854230305608,1.422785423030561,-3.198071771968208
A15,-0.4383999999999999,1.4544987236760498,1.2544987236760496,1.4544987236760498,-3.1412660061972426
A15,-0.29684999999999984,1.4778808128258318,1.2778808128258317,1.4778808128258318,-3.0805543403524593
A15,-0.1553,1.492463979250929,1.292463979250929,1.492463979250929,-3.01715118806746
A16,1.5708,0.32799889803846904,0.127998898038469,0.32799889803846904,-3.406000000002024
A16,1.7278799999999999,0.28106846325430235,0.08106846325430231,0.28106846325430235,-3.4096936874471164
A16,1.88496,0.23529364405518266,0.03529364405518265,0.23529364405518266,-3.420683453744034
A16,2.04204,0.19180157366830117,-0.008198426331698844,0.19180157366830117,-3.438698693110623
A16,2.1991199999999997,0.15166317620674175,-0.048336823793258266,0.15166317620674175,-3.463295808494156
A16,2.3562,0.11586679684054899,-0.08413320315945103,0.11586679684054899,-3.4938691344539623
A16,2.51328,0.08529386534492897,-0.11470613465507104,0.08529386534492897,-3.5296658507242724
A16,2.6703599999999996,0.06069719227258874,-0.13930280772741127,0.06069719227258874,-3.569804519234144
A16,2.82744,0.0426824321729779,-0.1573175678270221,0.0426824321729779,-3.6132967881393925
A16,2.98452,0.03169317029762597,-0.16830682970237404,0.03169317029762597,-3.6590717284387297
A16,3.1416,0.028000000008095494,-0.17199999999190452,0.028000000008095494,-3.706002203923062
A17,1.5708,0.3279994490192345,0.1279994490192345,0.3279994490192345,-3.556000000001012
A17,1.7278799999999999,0.3045342316271512,0.10453423162715117,0.3045342316271512,-3.557846843723558
A17,1.88496,0.28164682202759134,0.08164682202759133,0.28164682202759134,-3.563341726872017
A17,2.04204,0.25990078683415063,0.05990078683415059,0.25990078683415063,-3.5723493465553116
A17,2.1991199999999997,0.23983158810337088,0.03983158810337087,0.23983158810337088,-3.584647904247078
A17,2.3562,0.22193339842027449,0.02193339842027449,0.22193339842027449,-3.599934567226981
A17,2.51328,0.20664693267246448,0.006646932672464481,0.20664693267246448,-3.617832925362136
A17,2.6703599999999996,0.19434859613629438,-0.005651403863705634,0.19434859613629438,-3.6379022596170723
A17,2.82744,0.18534121608648896,-0.014658783913511053,0.18534121608648896,-3.659648394069696
A17,2.98452,0.179846585148813,-0.020153414851187018,0.179846585148813,-3.682535864219365
A17,3.1416,0.17800000000404775,-0.021999999995952257,0.17800000000404775,-3.706001101961531
A18,0.0,0.16799999999999998,-0.03200000000000003,0.16799999999999998,-3.706
A18,0.15708,0.16430648494004507,-0.03569351505995494,0.16430648494004507,-3.659069551648478
A18,0.31416,0.15331688678350103,-0.046683113216498984,0.15331688678350103,-3.6132946920820017
A18,0.47124,0.1353018071723282,-0.06469819282767181,0.1353018071723282,-3.5698025555217447
A18,0.62832,0.11070483922552762,-0.08929516077447239,0.11070483922552762,-3.5296640677102062
A18,0.7854,0.08013164475337087,-0.11986835524662914,0.08013164475337087,-3.493867576042158
A18,0.94248,0.04433504078395023,-0.15566495921604978,0.04433504078395023,-3.4632945130580635
A18,1.0995599999999999,0.004196462622974351,-0.19580353737702566,0.004196462622974351,-3.438697692548327
A18,1.25664,-0.039295740110071836,-0.23929574011007185,-0.039295740110071836,-3.4206827726928135
A18,1.41372,-0.0850706400432876,-0.28507064004328764,-0.0850706400432876,-3.4096933426767913
A18,1.5708,-0.132001101961531,-0.332001101961531,-0.132001101961531,-3.406000000002024
A19,0.0,0.017999999999999988,-0.18200000000000002,0.017999999999999988,-3.706
A19,0.15708,0.016153242470022533,-0.18384675752997748,0.016153242470022533,-3.682534775824239
A19,0.31416,0.01065844339175051,-0.1893415566082495,0.01065844339175051,-3.659647346041001
A19,0.47124,0.0016509035861640986,-0.1983490964138359,0.0016509035861640986,-3.6379012777608724
A19,0.62832,-0.010647580387236191,-0.2106475803872362,-0.010647580387236191,-3.617832033855103
A19,0.7854,-0.02593417762331457,-0.22593417762331458,-0.02593417762331457,-3.599933788021079
A19,0.94248,-0.04383247960802489,-0.2438324796080249,-0.04383247960802489,-3.5846472565290317
A19,1.0995599999999999,-0.06390176868851283,-0.26390176868851284,-0.06390176868851283,-3.5723488462741635
A19,1.25664,-0.08564787005503594,-0.28564787005503595,-0.08564787005503594,-3.5633413863464067
A19,1.41372,-0.10853532002164379,-0.3085353200216438,-0.10853532002164379,-3.5578466713383956
A19,1.5708,-0.13200055098076552,-0.33200055098076553,-0.13200055098076552,-3.556000000001012
A20,1.5708,-1.7020011019615309,-1.902001101961531,-1.7020011019615309,-3.406000000002024
A20,1.7278799999999999,-1.7489315367456977,-1.9489315367456979,-1.7489315367456977,-3.4096936874471164
A20,1.88496,-1.7947063559448173,-1.9947063559448175,-1.7947063559448173,-3.420683453744034
A20,2.04204,-1.8381984263316988,-2.038198426331699,-1.8381984263316988,-3.438698693110623
A20,2.1991199999999997,-1.8783368237932583,-2.0783368237932582,-1.8783368237932583,-3.463295808494156
A20,2.3562,-1.9141332031594511,-2.1141332031594513,-1.9141332031594511,-3.4938691344539623
A20,2.51328,-1.9447061346550711,-2.1447061346550713,-1.9447061346550711,-3.5296658507242724
A20,2.6703599999999996,-1.969302807727411,-2.1693028077274112,-1.969302807727411,-3.569804519234144
A20,2.82744,-1.9873175678270223,-2.1873175678270225,-1.9873175678270223,-3.6132967881393925
A20,2.98452,-1.9983068297023738,-2.198306829702374,-1.9983068297023738,-3.6590717284387297
A20,3.1416,-2.0019999999919045,-2.2019999999919047,-2.0019999999919045,-3.706002203923062
A21,1.5708,-1.7020005509807654,-1.9020005509807656,-1.7020005509807654,-3.556000000001012
A21,1.7278799999999999,-1.7254657683728487,-1.9254657683728489,-1.7254657683728487,-3.557846843723558
A21,1.88496,-1.7483531779724086,-1.9483531779724088,-1.7483531779724086,-3.563341726872017
A21,2.04204,-1.7700992131658493,-1.9700992131658495,-1.7700992131658493,-3.5723493465553116
A21,2.1991199999999997,-1.790168411896629,-1.9901684118966292,-1.790168411896629,-3.584647904247078
A21,2.3562,-1.8080666015797255,-2.0080666015797255,-1.8080666015797255,-3.599934567226981
A21,2.51328,-1.8233530673275355,-2.0233530673275357,-1.8233530673275355,-3.617832925362136
A21,2.6703599999999996,-1.8356514038637055,-2.0356514038637057,-1.8356514038637055,-3.6379022596170723
A21,2.82744,-1.844658783913511,-2.044658783913511,-1.844658783913511,-3.659648394069696
A21,2.98452,-1.850153414851187,-2.050153414851187,-1.850153414851187,-3.682535864219365
A21,3.1416,-1.8519999999959522,-2.051999999995952,-1.8519999999959522,-3.706001101961531
A22,-3.1416,-2.0019999999919045,-2.2019999999919047,-2.0019999999919045,-3.245997796076938
A22,-2.98452,-1.9983068297023738,-2.198306829702374,-1.9983068297023738,-3.29292827156127
A22,-2.82744,-1.9873175678270223,-2.1873175678270225,-1.9873175678270223,-3.3387032118606075
A22,-2.67036,-1.9693028077274115,-2.1693028077274117,-1.9693028077274115,-3.3821954807658554
A22,-2.51328,-1.9447061346550711,-2.1447061346550713,-1.9447061346550711,-3.4223341492757275
A22,-2.3562,-1.9141332031594511,-2.1141332031594513,-1.9141332031594511,-3.4581308655460377
A22,-2.1991199999999997,-1.8783368237932583,-2.0783368237932582,-1.8783368237932583,-3.488704191505844
A22,-2.04204,-1.8381984263316988,-2.038198426331699,-1.8381984263316988,-3.513301306889377
A22,-1.88496,-1.7947063559448173,-1.9947063559448175,-1.7947063559448173,-3.531316546255966
A22,-1.7278799999999999,-1.7489315367456977,-1.9489315367456979,-1.7489315367456977,-3.5423063125528835
A22,-1.5708,-1.7020011019615309,-1.902001101961531,-1.7020011019615309,-3.545999999997976
A23,-3.1416,-1.8519999999959522,-2.051999999995952,-1.8519999999959522,-3.245998898038469
A23,-2.98452,-1.850153414851187,-2.050153414851187,-1.850153414851187,-3.269464135780635
A23,-2.82744,-1.844658783913511,-2.044658783913511,-1.844658783913511,-3.2923516059303037
A23,-2.67036,-1.8356514038637057,-2.0356514038637057,-1.8356514038637057,-3.3140977403829277
A23,-2.51328,-1.8233530673275355,-2.0233530673275357,-1.8233530673275355,-3.3341670746378638
A23,-2.3562,-1.8080666015797255,-2.0080666015797255,-1.8080666015797255,-3.352065432773019
A23,-2.1991199999999997,-1.790168411896629,-1.9901684118966292,-1.790168411896629,-3.367352095752922
A23,-2.04204,-1.7700992131658493,-1.9700992131658495,-1.7700992131658493,-3.3796506534446884
A23,-1.88496,-1.7483531779724086,-1.9483531779724088,-1.7483531779724086,-3.388658273127983
A23,-1.7278799999999999,-1.7254657683728487,-1.9254657683728489,-1.7254657683728487,-3.3941531562764418
A23,-1.5708,-1.7020005509807654,-1.9020005509807656,-1.7020005509807654,-3.395999999998988
A24,-1.5708,-0.132001101961531,-0.332001101961531,-0.132001101961531,-3.545999999997976
A24,-1.41372,-0.0850706400432876,-0.28507064004328764,-0.0850706400432876,-3.5423066573232087
A24,-1.25664,-0.039295740110071836,-0.23929574011007185,-0.039295740110071836,-3.5313172273071864
A24,-1.0995599999999999,0.004196462622974351,-0.19580353737702566,0.004196462622974351,-3.513302307451673
A24,-0.94248,0.04433504078395023,-0.15566495921604978,0.04433504078395023,-3.4887054869419365
A24,-0.7854,0.08013164475337087,-0.11986835524662914,0.08013164475337087,-3.458132423957842
A24,-0.62832,0.11070483922552762,-0.08929516077447239,0.11070483922552762,-3.4223359322897937
A24,-0.4712400000000001,0.13530180717232815,-0.06469819282767186,0.13530180717232815,-3.382197444478255
A24,-0.31416,0.15331688678350103,-0.046683113216498984,0.15331688678350103,-3.3387053079179982
A24,-0.1570799999999999,0.16430648494004507,-0.03569351505995494,0.16430648494004507,-3.292930448351522
A24,0.0,0.16799999999999998,-0.03200000000000003,0.16799999999999998,-3.246
A25,-1.5708,-0.13200055098076552,-0.33200055098076553,-0.13200055098076552,-3.395999999998988
A25,-1.41372,-0.10853532002164379,-0.3085353200216438,-0.10853532002164379,-3.3941533286616044
A25,-1.25664,-0.08564787005503594,-0.28564787005503595,-0.08564787005503594,-3.388658613653593
A25,-1.0995599999999999,-0.06390176868851283,-0.26390176868851284,-0.06390176868851283,-3.3796511537258365
A25,-0.94248,-0.04383247960802489,-0.2438324796080249,-0.04383247960802489,-3.3673527434709682
A25,-0.7854,-0.02593417762331457,-0.22593417762331458,-0.02593417762331457,-3.352066211978921
A25,-0.62832,-0.010647580387236191,-0.2106475803872362,-0.010647580387236191,-3.334167966144897
A25,-0.4712400000000001,0.0016509035861640708,-0.19834909641383594,0.0016509035861640708,-3.3140987222391276
A25,-0.31416,0.01065844339175051,-0.1893415566082495,0.01065844339175051,-3.292352653958999
A25,-0.1570799999999999,0.016153242470022533,-0.18384675752997748,0.016153242470022533,-3.269465224175761
A25,0.0,0.017999999999999988,-0.18200000000000002,0.017999999999999988,-3.246
A26,-3.1416,0.028000000008095494,-0.17199999999190452,0.028000000008095494,-3.245997796076938
A26,-2.98452,0.03169317029762597,-0.16830682970237404,0.03169317029762597,-3.29292827156127
A26,-2.82744,0.0426824321729779,-0.1573175678270221,0.0426824321729779,-3.3387032118606075
A26,-2.67036,0.06069719227258863,-0.13930280772741138,0.06069719227258863,-3.3821954807658554
A26,-2.51328,0.08529386534492897,-0.11470613465507104,0.08529386534492897,-3.4223341492757275
A26,-2.3562,0.11586679684054899,-0.08413320315945103,0.11586679684054899,-3.4581308655460377
A26,-2.1991199999999997,0.15166317620674175,-0.048336823793258266,0.15166317620674175,-3.488704191505844
A26,-2.04204,0.19180157366830117,-0.008198426331698844,0.19180157366830117,-3.513301306889377
A26,-1.88496,0.23529364405518266,0.03529364405518265,0.23529364405518266,-3.531316546255966
A26,-1.7278799999999999,0.28106846325430235,0.08106846325430231,0.28106846325430235,-3.5423063125528835
A26,-1.5708,0.32799889803846904,0.127998898038469,0.32799889803846904,-3.545999999997976
A27,-3.1416,0.17800000000404775,-0.021999999995952257,0.17800000000404775,-3.245998898038469
A27,-2.98452,0.179846585148813,-0.020153414851187018,0.179846585148813,-3.269464135780635
A27,-2.82744,0.18534121608648896,-0.014658783913511053,0.18534121608648896,-3.2923516059303037
A27,-2.67036,0.19434859613629432,-0.00565140386370569,0.19434859613629432,-3.3140977403829277
A27,-2.51328,0.20664693267246448,0.006646932672464481,0.20664693267246448,-3.3341670746378638
A27,-2.3562,0.22193339842027449,0.02193339842027449,0.22193339842027449,-3.352065432773019
A27,-2.1991199999999997,0.23983158810337088,0.03983158810337087,0.23983158810337088,-3.367352095752922
A27,-2.04204,0.25990078683415063,0.05990078683415059,0.25990078683415063,-3.3796506534446884
A27,-1.88496,0.28164682202759134,0.08164682202759133,0.28164682202759134,-3.388658273127983
A27,-1.7278799999999999,0.3045342316271512,0.10453423162715117,0.3045342316271512,-3.3941531562764418
A27,-1.5708,0.3279994490192345,0.1279994490192345,0.3279994490192345,-3.395999999998988
A28,1.7261,1.8768471425936126,1.6768471425936124,1.8768471425936126,-2.6315362821050443
